batalla,winrate_vs_heuristics,epsilon
1,36.0,0.6061510638947135
2,28.000000000000004,0.3674191122606931
3,14.000000000000002,0.22271148579207004
4,34.0,0.13499680405443557
5,14.000000000000002,0.08182845639998225
6,46.0,0.04960040590371136
7,50.0,0.03006533880814425
8,56.00000000000001,0.018224137104911636
9,42.0,0.01104658009470531
10,50.0,0.009994107583211972
11,50.0,0.009994107583211972
12,60.0,0.009994107583211972
13,54.0,0.009994107583211972
14,48.0,0.009994107583211972
15,34.0,0.009994107583211972
16,36.0,0.009994107583211972
17,48.0,0.009994107583211972
18,52.0,0.009994107583211972
19,44.0,0.009994107583211972
20,44.0,0.009994107583211972
21,40.0,0.009994107583211972
22,46.0,0.009994107583211972
23,44.0,0.009994107583211972
24,46.0,0.009994107583211972
25,42.0,0.009994107583211972
