batalla,winrate_vs_heuristics,epsilon
200,36.0,0.6061510638947135
400,28.000000000000004,0.3674191122606931
600,14.000000000000002,0.22271148579207004
800,34.0,0.13499680405443557
1000,14.000000000000002,0.08182845639998225
1200,46.0,0.04960040590371136
1400,50.0,0.03006533880814425
1600,56.00000000000001,0.018224137104911636
1800,42.0,0.01104658009470531
2000,50.0,0.009994107583211972
2200,50.0,0.009994107583211972
2400,60.0,0.009994107583211972
2600,54.0,0.009994107583211972
2800,48.0,0.009994107583211972
3000,34.0,0.009994107583211972
3200,36.0,0.009994107583211972
3400,48.0,0.009994107583211972
3600,52.0,0.009994107583211972
3800,44.0,0.009994107583211972
4000,44.0,0.009994107583211972
4200,40.0,0.009994107583211972
4400,46.0,0.009994107583211972
4600,44.0,0.009994107583211972
4800,46.0,0.009994107583211972
5000,42.0,0.009994107583211972
5200,57.99999999999999,0.009994107583211972
5400,42.0,0.009994107583211972
5600,60.0,0.009994107583211972
5800,46.0,0.009994107583211972
6000,52.0,0.009994107583211972
6200,46.0,0.009994107583211972
6400,50.0,0.009994107583211972
6600,44.0,0.009994107583211972
6800,50.0,0.009994107583211972
7000,42.0,0.009994107583211972
7200,48.0,0.009994107583211972
7400,46.0,0.009994107583211972
7600,46.0,0.009994107583211972
7800,50.0,0.009994107583211972
8000,40.0,0.009994107583211972
8200,52.0,0.009994107583211972
8400,57.99999999999999,0.009994107583211972
8600,48.0,0.009994107583211972
8800,20.0,0.009994107583211972
9000,50.0,0.009994107583211972
9200,40.0,0.009994107583211972
9400,46.0,0.009994107583211972
9600,18.0,0.009994107583211972
9800,57.99999999999999,0.009994107583211972
10000,38.0,0.009994107583211972
10200,48.0,0.009994107583211972
10400,38.0,0.009994107583211972
10600,46.0,0.009994107583211972
10800,42.0,0.009994107583211972
11000,56.00000000000001,0.009994107583211972
11200,50.0,0.009994107583211972
11400,57.99999999999999,0.009994107583211972
11600,50.0,0.009994107583211972
11800,42.0,0.009994107583211972
12000,46.0,0.009994107583211972
12200,48.0,0.009994107583211972
12400,44.0,0.009994107583211972
12600,48.0,0.009994107583211972
12800,28.000000000000004,0.009994107583211972
13000,48.0,0.009994107583211972
13200,46.0,0.009994107583211972
13400,46.0,0.009994107583211972
13600,48.0,0.009994107583211972
13800,54.0,0.009994107583211972
14000,46.0,0.009994107583211972
14200,38.0,0.009994107583211972
14400,38.0,0.009994107583211972
14600,60.0,0.009994107583211972
14800,46.0,0.009994107583211972
15000,40.0,0.009994107583211972
15200,32.0,0.009994107583211972
15400,28.000000000000004,0.009994107583211972
15600,24.0,0.009994107583211972
15800,16.0,0.009994107583211972
16000,24.0,0.009994107583211972
16200,16.0,0.009994107583211972
16400,24.0,0.009994107583211972
16600,28.000000000000004,0.009994107583211972
16800,52.0,0.009994107583211972
17000,56.00000000000001,0.009994107583211972
17200,57.99999999999999,0.009994107583211972
17400,40.0,0.009994107583211972
17600,36.0,0.009994107583211972
17800,50.0,0.009994107583211972
18000,44.0,0.009994107583211972
18200,50.0,0.009994107583211972
18400,64.0,0.009994107583211972
18600,44.0,0.009994107583211972
18800,50.0,0.009994107583211972
19000,50.0,0.009994107583211972
19200,52.0,0.009994107583211972
19400,40.0,0.009994107583211972
19600,38.0,0.009994107583211972
19800,54.0,0.009994107583211972
20000,50.0,0.009994107583211972
20200,32.0,0.009994107583211972
20400,40.0,0.009994107583211972
20600,24.0,0.009994107583211972
20800,48.0,0.009994107583211972
21000,40.0,0.009994107583211972
21200,46.0,0.009994107583211972
21400,38.0,0.009994107583211972
21600,42.0,0.009994107583211972
21800,54.0,0.009994107583211972
22000,44.0,0.009994107583211972
22200,46.0,0.009994107583211972
22400,52.0,0.009994107583211972
22600,46.0,0.009994107583211972
22800,36.0,0.009994107583211972
23000,34.0,0.009994107583211972
23200,56.00000000000001,0.009994107583211972
23400,38.0,0.009994107583211972
23600,44.0,0.009994107583211972
23800,48.0,0.009994107583211972
24000,52.0,0.009994107583211972
24200,48.0,0.009994107583211972
24400,56.00000000000001,0.009994107583211972
24600,60.0,0.009994107583211972
24800,42.0,0.009994107583211972
25000,54.0,0.009994107583211972
25200,26.0,0.009994107583211972
25400,44.0,0.009994107583211972
25600,40.0,0.009994107583211972
25800,44.0,0.009994107583211972
26000,50.0,0.009994107583211972
26200,32.0,0.009994107583211972
26400,66.0,0.009994107583211972
26600,46.0,0.009994107583211972
26800,50.0,0.009994107583211972
27000,48.0,0.009994107583211972
27200,48.0,0.009994107583211972
27400,40.0,0.009994107583211972
27600,38.0,0.009994107583211972
27800,42.0,0.009994107583211972
28000,46.0,0.009994107583211972
28200,8.0,0.009994107583211972
28400,34.0,0.009994107583211972
28600,54.0,0.009994107583211972
28800,40.0,0.009994107583211972
29000,56.00000000000001,0.009994107583211972
29200,42.0,0.009994107583211972
29400,38.0,0.009994107583211972
29600,36.0,0.009994107583211972
29800,36.0,0.009994107583211972
30000,48.0,0.009994107583211972
30200,48.0,0.009994107583211972
30400,46.0,0.009994107583211972
30600,50.0,0.009994107583211972
30800,50.0,0.009994107583211972
31000,38.0,0.009994107583211972
31200,44.0,0.009994107583211972
31400,44.0,0.009994107583211972
31600,40.0,0.009994107583211972
31800,56.00000000000001,0.009994107583211972
32000,52.0,0.009994107583211972
32200,48.0,0.009994107583211972
32400,42.0,0.009994107583211972
32600,57.99999999999999,0.009994107583211972
32800,40.0,0.009994107583211972
33000,34.0,0.009994107583211972
33200,38.0,0.009994107583211972
33400,48.0,0.009994107583211972
33600,26.0,0.009994107583211972
33800,48.0,0.009994107583211972
34000,46.0,0.009994107583211972
